mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
PVT_PVT_Telescope Point Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1246964,,
PVT_PVT_ca,,No,Cultural,Recreation/parks/Trails/greenways,,,https://towncenterhoa.org/community/about-us/,,
PVT_PVT_Trails of Calavera Hills Homeowners Association,,No,Cultural,,,,https://www.hoa-information.com/the-trails-of-calavera-hills-homeowners-association-carlsbad-ca/,,
PVT_PVT_Trailwood Maintenance Association,,No,Cultural,,,,https://trailwood.org/,,
PVT_PVT_Trust No. 82-0192-00,,,,,,,,Yes,Could not find organization
PVT_PVT_Turtle Rock Broadmoor Community Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=543023,,
PVT_PVT_Turtle Rock Glen Community Association,,No,Cultural,,,,https://turtlerockglenhoa.org/,,
PVT_PVT_Turtle Rock Ridge Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=882051,,
PVT_PVT_University Community Association,,No,Cultural,,,,https://www.countyoffice.org/university-community-association-irvine-ca-fe5/,,
PVT_PVT_Viadana Homeowners Assocation,,No,Cultural,,,,https://hoa-community.com/viadana-hoa-carlsbad-ca/,,
PVT_PVT_Village Park Community Association,,No,Cultural,Recreation/parks/Trails/greenways,,,http://vpca.net/management/,,
PVT_PVT_Village of Pavoreal Homeowners Association,,,,,,,,Yes,Could not find organization in CA (shows in AZ)
PVT_PVT_Villagio Homeowners Association,,No,Cultural,,,,https://apmassoc.net/villaggio/,,
PVT_PVT_Villas of Calavera Hills Homeowners Association,,No,Cultural,,,,https://www.dnb.com/business-directory/company-profiles.the_villas_of_calavera_hills_homeowners_association.42d7bb7f2d2da64ec5c6bfaf1d89967b.html,,
PVT_PVT_Wagon Wheel Canyon Community Association,,No,Cultural,,,,http://wagonwheelhoa.com/,,
PVT_PVT_Western Pacific Housing,,No,Other,,,,https://www.dnb.com/business-directory/company-profiles.western_pacific_housing_inc.2b6133cc088a8deb00adea139bc39633.html,Yes,Construction
PVT_PVT_Westpark Maintenance District,,No,Cultural,,,,https://www.westparkmd.com/,,
PVT_PVT_Westridge Homeowners Association,,No,Cultural,,,,https://westridgevalenciahoa.com/contact/management,,
PVT_PVT_Winchester Owners Association,,No,Cultural,,,,https://opencorporates.com/companies/us_ca/C1543566,,
PVT_PVT_Windwood Homeowners Association,,No,Cultural,,,,https://hoa-information.com/windwood-homeowners-association-anaheim-ca/,,
PVT_PVT_Woodbridge Village Association,,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.wva.org/,,
PVT_PVT_Woodbury Community Association,,No,Cultural,,,,https://woodburyhoa.org/,,
PVT_PVT_Woodside-Irvine Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=856492,,
PVT_UNK_Unknown Private,,,,,,,,Yes,N/A organization
STAT_NGO_California Tahoe Conservancy, to lead California’s efforts to restore and enhance the extraordinary natural and recreational resources of the Lake Tahoe Basin.,Yes,Watershed protection,Recreation/parks/Trails/greenways,,,https://tahoe.ca.gov/about-us/,,
STAT_OTHS_California Department of General Services,"Deliver results by providing timely, cost-effective services and products that support our customers, while protecting the interests of the state of California.",Yes,Cultural,Other,,,file:///C:/Users/ehard/Downloads/StrategicPlan-2020-ADA.pdf,Yes,Services
STAT_OTHS_California Department of Transportation,Provide a safe and reliable transportation network that serves all people and respects the environment.,Yes,Energy ,Cultural,,,https://dot.ca.gov/about-caltrans,Yes,Transporation
STAT_OTHS_California Department of Veterans Affairs,"To serve and honor all California veterans by connecting them and their families with their earned benefits through education, advocacy, and direct services.",Yes,Cultural,,,,https://www.calvet.ca.gov/about-us,,
STAT_OTHS_Napa Valley College,"Napa Valley College prepares students for evolving roles in a diverse, dynamic, and interdependent world.  The college is an accredited open-access, degree- and certificate-granting institution that is committed to student achievement through high-quality programs and services that are continuously evaluated and improved.  The college serves students and the community in the following areas:  transfer courses, career-technical education and training, basic skills, and self-supporting contract education and community education classes.",Yes,Cultural,,,,https://www.napavalley.edu/llrc/Pages/NVCMissionStatement.aspx,,
STAT_OTHS_Other State,,,,,,,,Yes,N/A organization
STAT_OTHS_San Diego State University,"The mission of San Diego State University is to provide research-oriented, high-quality education for undergraduate and graduate students and to contribute to the solution of problems through excellence and distinction in teaching, research, and service. The university strives to impart an appreciation and broad understanding of the human experience throughout the world and the ages. This education extends to diverse cultural legacies and accomplishments in many areas, such as the arts and technology; the advancement of human thought including philosophy and science; the development of economic, political, and social institutions; and the physical and biological evolution of humans and their environment. San Diego State University pursues its mission through its many diverse departments and interdisciplinary programs in the creative and performing arts, the humanities, the sciences, and the social and behavioral sciences.",Yes,Cultural,,,,https://stratcomm.sdsu.edu/sdsu-mission-and-history,,
STAT_OTHS_Santa Monica Mountains Conservancy,"Through direct action, alliances, partnerships, and joint powers authorities, the Conservancy's mission is to strategically buy back, preserve, protect, restore, and enhance treasured pieces of Southern California to form an interlinking system of urban, rural and river parks, open space, trails, and wildlife habitats that are easily accessible to the general public.",Yes,Wildlife habitat,Recreation/parks/Trails/greenways,Watershed protection,,https://smmc.ca.gov/,,
STAT_SPR_Department of Parks and Recreation,"To provide for the health, inspiration and education of the people of California by helping to preserve the state's extraordinary biological diversity, protecting its most valued natural and cultural resources, and creating opportunities for high-quality outdoor recreation.",Yes,Recreation/parks/Trails/greenways,Cultural,,,https://www.parks.ca.gov/?page_id=91,Yes,Assuming this is California Department of Parks and Recreation because it's under STAT level
UNK_UNK_Unknown Joint Holder,,,,,,,,Yes,N/A organization
UNK_UNK_Unknown State,,,,,,,,Yes,N/A organization
FED_BLM,"The Bureau of Land Management's mission is to sustain the health, diversity, and productivity of public lands for the use and enjoyment of present and future generations.",Yes,Open space,Recreation/parks/Trails/greenways,,,https://www.blm.gov/about/our-mission,,
FED_USFS,"The mission of the Forest Service is to sustain the health, diversity, and productivity of the nation’s forests and grasslands to meet the needs of present and future generations.",Yes,Forest,Recreation/parks/Trails/greenways,,,https://www.fs.usda.gov/about-agency/meet-forest-service,,
"LOC_CITY_San Diego, City of",,No,Cultural,,,,https://www.sandiego.gov/,,
STAT_SFW_California Department of Fish and Wildlife,"The Mission of the Department of Fish and Wildlife is to manage California's diverse fish, wildlife, and plant resources, and the habitats upon which they depend, for their ecological values and for their use and enjoyment by the public.",Yes,Wildlife habitat,Recreation/parks/Trails/greenways,,,https://wildlife.ca.gov/,,
STAT_SPR_California Department of Parks and Recreation,"To provide for the health, inspiration and education of the people of California by helping to preserve the state's extraordinary biological diversity, protecting its most valued natural and cultural resources, and creating opportunities for high-quality outdoor recreation.",Yes,Wildlife habitat,Recreation/parks/Trails/greenways,Cultural,,https://www.parks.ca.gov/?page_id=91,,
FED_NRCS,We deliver conservation solutions so agricultural producers can protect natural resources and feed a growing world.,Yes,Wildlife habitat,Farmland/ranchlands,Other,,https://www.nrcs.usda.gov/wps/portal/nrcs/detailfull/national/about/?cid=nrcseprd1547221,,
"LOC_CITY_Los Angeles, City of",,No,Cultural,,,,https://www.lacity.org/,,
FED_FWS,"Our mission is to work with others to conserve, protect and enhance fish, wildlife and plants and their habitats for the continuing benefit of the American people.",Yes,Wildlife habitat,Recreation/parks/Trails/greenways,,,https://www.fws.gov/help/about_us.html,,
DIST_REG_Mountains Recreation and Conservation Authority,"The mission of MRCA is to complement the work of other agencies protecting land in the Southern California mountains by using its unique abilities to acquire and improve open space and parkland, afford environmental education opportunities, and provide stewardship for a wide variety of public park and open space amenities.",Yes,Recreation/parks/Trails/greenways,Open space,,,https://mrca.ca.gov/about/,,
DIST_REG_Sonoma County Agricultural Preservation and Open Space District,"The Sonoma County Agricultural Preservation and Open Space District permanently protects the diverse agricultural, natural resource, and scenic open space lands of Sonoma County for future generations.",Yes,Open space,Wildlife habitat,,,https://www.sonomaopenspace.org/who-we-are/mission/,,
DIST_REG_East Bay Regional Park District,"The East Bay Regional Park District preserves a rich heritage of natural and cultural resources and provides open space, parks, trails, safe and healthful recreation and environmental education. An environmental ethic guides the District in all of its activities.",Yes,Recreation/parks/Trails/greenways,Open space,,,https://www.ebparks.org/about/mission_and_vision.htm,,
"LOC_CNTY_Santa Cruz, County of","An open and responsive government, the County of Santa Cruz delivers quality, data-driven services that strengthen our community and enhance opportunity.",Yes,Cultural,,,,https://www.santacruzcounty.us/VisionSantaCruz.aspx,,
NGO_NGO_The Nature Conservancy,The mission of The Nature Conservancy is to conserve the lands and waters on which all life depends.,Yes,Wildlife habitat,,,,https://www.nature.org/en-us/about-us/who-we-are/our-mission-vision-and-values/,,
DIST_REG_Midpeninsula Regional Open Space District,"To acquire and preserve a regional greenbelt of open space land in perpetuity, protect and restore the natural environment, and provide opportunities for ecologically sensitive public enjoyment and education.",Yes,Open space,Recreation/parks/Trails/greenways,,,https://www.openspace.org/about-us,,
NGO_NGO_Wildlife Heritage Foundation,"To protect, enhance, and restore wildlife habitat on lands conserved for the benefit of future generations.",Yes,Wildlife habitat,,,,https://www.calandtrusts.org/members/wildlife-heritage-foundation/,,
FED_NPS,"The National Park Service preserves unimpaired the natural and cultural resources and values of the National Park System for the enjoyment, education, and inspiration of this and future generations. The Park Service cooperates with partners to extend the benefits of natural and cultural resource conservation and outdoor recreation throughout this country and the world.",Yes,Recreation/parks/Trails/greenways,Wildlife habitat,,,"https://www.nps.gov/aboutus/index.htm#:~:text=Follow%20Us-,Our%20Mission,of%20this%20and%20future%20generations.",,
DIST_REG_Marin County Open Space District,,No,Open space,,,,,Yes,No organization found
NGO_NGO_Truckee Donner Land Trust,"to preserve and protect scenic, historic and recreational lands with high natural resource values in the greater Truckee Donner region",Yes,Open space,Recreation/parks/Trails/greenways,,,https://www.truckeedonnerlandtrust.org/explore,,
NGO_NGO_Center for Natural Lands Management,"The mission of the Center for Natural Lands Management is:

To conserve native species, their habitat and functioning ecosystems in perpetuity;
To own and/or manage lands in an ecologically beneficial manner consistent with local, state and federal environmental laws and with science-based stewardship;
To promote the conservation values of such lands through education;
To promote and facilitate uses of lands by the public that preserve the conservation values; and
To cooperate with public and private entities in their efforts to protect native species and their habitats for the public benefit.",Yes,Wildlife habitat,,,,https://www.cnlm.org/about-cnlm/mission/,,
"LOC_CITY_Poway, City of",,No,Cultural,,,,https://poway.org/,,
NGO_NGO_Land Trust of Santa Cruz County,"The mission of the Land Trust of Santa Cruz County is to protect, care for, and connect people to the extraordinary lands that make this area special.",Yes,Open space,Wildlife habitat,Recreation/parks/Trails/greenways,,https://www.landtrustsantacruz.org/who-we-are/mission-vision/,,
NGO_NGO_Tri-Valley Conservancy,"promote economically sustainable vineyards and orchards, and increase permanently protected, biologically diverse open spaces.",Yes,Open space,Farmland/ranchlands,,,https://trivalleyconservancy.org/about-us/mission/,,
